RoleDisplayName,Permission,RoleType
Compliance Data Administrator,microsoft.azure.informationProtection/allEntities/allTasks,Built-in
Compliance Data Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Compliance Data Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Compliance Data Administrator,microsoft.directory/authorizationPolicy/standard/read,Built-in
Compliance Data Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks,Built-in
Compliance Data Administrator,microsoft.office365.complianceManager/allEntities/allTasks,Built-in
Compliance Data Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Compliance Data Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
Compliance Data Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/basic/update,Built-in
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/create,Built-in
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/delete,Built-in
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/owners/read,Built-in
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/owners/update,Built-in
